symbol,date,y5,ret5,pred,p_down,p_flat,p_up,train_rows,best_iter,test_month,correct
2330,2026-04-01,2.0,0.07816711590296488,2,0.3001493052742595,0.259130807006842,0.4407198877188986,833,7,2026-04,1
2330,2026-04-02,2.0,0.09944751381215466,2,0.2849566466883898,0.24429661961722118,0.47074673369438885,833,7,2026-04,1
2330,2026-04-07,2.0,0.10483870967741926,2,0.2952873895374161,0.23857114952532388,0.46614146093725994,833,7,2026-04,1
2330,2026-04-08,2.0,0.06666666666666665,2,0.2991126673841014,0.22835647260911418,0.47253086000678446,833,7,2026-04,1
2330,2026-04-09,2.0,0.06649616368286448,2,0.3185016952091772,0.23466836087173265,0.4468299439190902,833,7,2026-04,1
2330,2026-04-10,2.0,0.014999999999999902,2,0.3641391141880089,0.2393095042621132,0.3965513815498778,833,7,2026-04,1
2330,2026-04-13,2.0,0.017587939698492372,2,0.3403365135210671,0.22372903405299407,0.4359344524259389,833,7,2026-04,1
2330,2026-04-14,1.0,-0.0024330900243308973,2,0.30827184295369786,0.2626980061104139,0.4290301509358883,833,7,2026-04,0
2330,2026-04-15,0.0,-0.014423076923076872,2,0.33121688199541494,0.2531324321355918,0.4156506858689933,833,7,2026-04,0
2330,2026-04-16,1.0,-0.0023980815347721673,2,0.32403948467599947,0.2595466824811159,0.4164138328428846,833,7,2026-04,0
2330,2026-04-17,2.0,0.07635467980295574,2,0.31706666956744484,0.24449329193382408,0.4384400384987311,833,7,2026-04,1
2330,2026-04-20,2.0,0.11851851851851847,2,0.32005569146469953,0.2583630182932166,0.42158129024208385,833,7,2026-04,1
2330,2026-04-21,2.0,0.08048780487804885,2,0.32284057340212013,0.23914447349548026,0.4380149531023996,833,7,2026-04,1
2330,2026-04-22,2.0,0.06341463414634152,2,0.32337468344341497,0.24268836912146352,0.4339369474351215,833,7,2026-04,1
2330,2026-04-23,2.0,0.02644230769230771,2,0.30677944295282716,0.22996032563276697,0.46326023141440587,833,7,2026-04,1
2330,2026-04-24,2.0,0.041189931350114506,2,0.311441940014441,0.2459513200396921,0.4426067399458668,833,7,2026-04,1
2330,2026-04-27,1.0,-0.0066225165562914245,2,0.3203200867759288,0.2734501848614519,0.4062297283626193,833,7,2026-04,0
2330,2026-04-28,2.0,0.015801354401805856,2,0.3370453333664612,0.23811489243572087,0.4248397741978179,833,7,2026-04,1
2330,2026-04-29,2.0,0.059633027522935755,2,0.27992595981697826,0.2401890949301943,0.4798849452528275,833,7,2026-04,1
2330,2026-04-30,2.0,0.07259953161592514,2,0.2750563376721844,0.24176920069972904,0.48317446162808664,833,7,2026-04,1
2317,2026-04-01,2.0,0.017766497461928932,2,0.23974282128867103,0.2621272813864585,0.49812989732487045,833,7,2026-04,1
2317,2026-04-02,2.0,0.03626943005181338,2,0.23307909660308307,0.2690565963442128,0.4978643070527041,833,7,2026-04,1
2317,2026-04-07,2.0,0.08072916666666674,2,0.24574796236195062,0.26247036696712583,0.49178167067092365,833,7,2026-04,1
2317,2026-04-08,2.0,0.02977667493796532,2,0.2436232539675159,0.2418256339467128,0.5145511120857713,833,7,2026-04,1
2317,2026-04-09,2.0,0.03499999999999992,2,0.26053061746828254,0.2377396518900806,0.5017297306416368,833,7,2026-04,1
2317,2026-04-10,2.0,0.027431421446383997,2,0.2941189549646788,0.25080536800661174,0.4550756770287094,833,7,2026-04,1
2317,2026-04-13,2.0,0.03750000000000009,2,0.3345272803672994,0.24302698169909057,0.42244573793360995,833,7,2026-04,1
2317,2026-04-14,2.0,0.01686746987951815,2,0.3406580797461315,0.2378329572516829,0.4215089630021856,833,7,2026-04,1
2317,2026-04-15,2.0,0.06506024096385543,2,0.33398433961091833,0.23323871050503886,0.43277694988404275,833,7,2026-04,1
2317,2026-04-16,2.0,0.08695652173913038,2,0.3496360091694241,0.2501191592917716,0.40024483153880425,833,7,2026-04,1
2317,2026-04-17,2.0,0.07524271844660202,2,0.3579968088677601,0.23218735781149788,0.409815833320742,833,7,2026-04,1
2317,2026-04-20,2.0,0.0987951807228915,2,0.35295051001461103,0.25249025421085436,0.3945592357745346,833,7,2026-04,1
2317,2026-04-21,2.0,0.06872037914691953,2,0.36317460975079624,0.23424997240288364,0.4025754178463201,833,7,2026-04,1
2317,2026-04-22,2.0,0.018099547511312153,2,0.3536499592440958,0.21490389306947352,0.43144614768643064,833,7,2026-04,1
2317,2026-04-23,0.0,-0.02444444444444449,2,0.27890806609873603,0.24927613621639644,0.4718157976848676,833,7,2026-04,0
2317,2026-04-24,2.0,0.02708803611738153,2,0.28017213962088605,0.2590194671747428,0.4608083932043713,833,7,2026-04,1
2317,2026-04-27,2.0,0.05043859649122817,2,0.27771344042802737,0.26205123900652944,0.4602353205654432,833,7,2026-04,1
2317,2026-04-28,2.0,0.11751662971175159,2,0.2922113718421412,0.22717891115734623,0.4806097170005126,833,7,2026-04,1
2317,2026-04-29,2.0,0.1266666666666667,2,0.278690545344696,0.24353751275634242,0.4777719418989616,833,7,2026-04,1
2317,2026-04-30,2.0,0.1389521640091116,2,0.2872292770596772,0.2288241563646489,0.48394656657567386,833,7,2026-04,1
2454,2026-04-01,2.0,0.07508532423208192,2,0.24621173043504113,0.26950971009104335,0.48427855947391557,833,7,2026-04,1
2454,2026-04-02,2.0,0.10580204778156999,2,0.2487660996453435,0.2619311032485859,0.4893027971060706,833,7,2026-04,1
2454,2026-04-07,2.0,0.17006802721088432,2,0.2573343211017647,0.2810105053106142,0.46165517358762115,833,7,2026-04,1
2454,2026-04-08,2.0,0.13291139240506333,2,0.2336681631486318,0.25731724242061577,0.5090145944307525,833,7,2026-04,1
2454,2026-04-09,2.0,0.20317460317460312,2,0.23704427188213958,0.24054155674675326,0.5224141713711071,833,7,2026-04,1
2454,2026-04-10,2.0,0.22222222222222232,2,0.23155976743478815,0.24230881595607046,0.5261314166091414,833,7,2026-04,1
2454,2026-04-13,2.0,0.1728395061728396,2,0.23831646023085276,0.22566577721582784,0.5360177625533195,833,7,2026-04,1
2454,2026-04-14,2.0,0.21511627906976738,2,0.25157099056645915,0.2163207344291101,0.5321082750044307,833,7,2026-04,1
2454,2026-04-15,2.0,0.282122905027933,2,0.2872828896960377,0.23784625122015332,0.47487085908380894,833,7,2026-04,1
2454,2026-04-16,2.0,0.16886543535620047,2,0.2959070101828783,0.26227684500881004,0.4418161448083116,833,7,2026-04,1
2454,2026-04-17,2.0,0.264935064935065,2,0.29060982196528895,0.2684837203806506,0.4409064576540605,833,7,2026-04,1
2454,2026-04-20,2.0,0.28157894736842115,2,0.24846479099478308,0.26972835643680626,0.48180685256841066,833,7,2026-04,1
2454,2026-04-21,2.0,0.25119617224880386,2,0.24477531755076218,0.3010284094674791,0.45419627298175863,833,7,2026-04,1
2454,2026-04-22,2.0,0.12200435729847503,2,0.2511599056310432,0.30888027302195464,0.4399598213470022,833,7,2026-04,1
2454,2026-04-23,2.0,0.17832957110609482,2,0.28010848122361154,0.23430041311575903,0.48559110566062946,833,7,2026-04,1
2454,2026-04-24,2.0,0.17864476386036965,2,0.277588283440919,0.26775455242268303,0.454657164136398,833,7,2026-04,1
2454,2026-04-27,2.0,0.2956878850102669,2,0.27482102516350554,0.24652843643453437,0.47865053840196,833,7,2026-04,1
2454,2026-04-28,2.0,0.31166347992351806,2,0.2825529204868217,0.254658420155596,0.46278865935758245,833,7,2026-04,1
2454,2026-04-29,2.0,0.32815533980582523,2,0.28372426546496676,0.265269935667972,0.4510057988670611,833,7,2026-04,1
