symbol,date,y1,ret1,pred,p_down,p_flat,p_up,train_rows,best_iter,test_month,correct
2330,2026-04-01,0.0,-0.02425876010781669,2,0.28658900550943245,0.3458608392431496,0.36755015524741796,857,5,2026-04,0
2330,2026-04-02,2.0,0.027624309392265234,1,0.3035896338428986,0.37016943571081923,0.3262409304462821,857,5,2026-04,0
2330,2026-04-07,2.0,0.048387096774193505,1,0.3174286016039377,0.35147431709111215,0.33109708130495014,857,5,2026-04,0
2330,2026-04-08,1.0,0.002564102564102555,2,0.33856591970990557,0.3059286729008276,0.35550540738926684,857,5,2026-04,0
2330,2026-04-09,2.0,0.023017902813299296,0,0.3381602110392521,0.3370746709681052,0.32476511799264285,857,5,2026-04,0
2330,2026-04-10,0.0,-0.0050000000000000044,0,0.34323659842093285,0.3253266084314795,0.3314367931475877,857,5,2026-04,1
2330,2026-04-13,2.0,0.03266331658291466,0,0.365911881401979,0.3105392203429591,0.3235488982550619,857,5,2026-04,0
2330,2026-04-14,2.0,0.012165450121654597,0,0.3515852189034188,0.3140016410935411,0.33441314000303995,857,5,2026-04,0
2330,2026-04-15,1.0,0.0024038461538462563,0,0.3472056515851085,0.3059337274790717,0.3468606209358198,857,5,2026-04,0
2330,2026-04-16,0.0,-0.026378896882493952,0,0.36718223194974947,0.306366316296143,0.32645145175410756,857,5,2026-04,1
2330,2026-04-17,1.0,-0.0024630541871921707,0,0.35409178316366124,0.3011209382721732,0.3447872785641655,857,5,2026-04,0
2330,2026-04-20,2.0,0.012345679012345734,0,0.3507412586402586,0.32017976043114343,0.3290789809285979,857,5,2026-04,0
2330,2026-04-21,1.0,0.0,2,0.3209259567513089,0.32209496955278766,0.3569790736959035,857,5,2026-04,0
2330,2026-04-22,2.0,0.014634146341463428,2,0.3259979210006699,0.3344750823163623,0.33952699668296776,857,5,2026-04,1
2330,2026-04-23,2.0,0.05048076923076916,2,0.3365200377342071,0.30252341179449815,0.3609565504712948,857,5,2026-04,1
2330,2026-04-24,2.0,0.03661327231121292,0,0.36617326287203616,0.3109211321572602,0.32290560497070375,857,5,2026-04,0
2330,2026-04-27,0.0,-0.02207505518763797,0,0.3576379907737376,0.2982672329813194,0.34409477624494295,857,5,2026-04,1
2330,2026-04-28,0.0,-0.015801354401805856,0,0.3513934301027687,0.29850707248829206,0.35009949740893925,857,5,2026-04,1
2330,2026-04-29,0.0,-0.020642201834862428,2,0.33434167793590347,0.3171844464106375,0.348473875653459,857,5,2026-04,0
2330,2026-04-30,2.0,0.06557377049180335,0,0.3600345821515473,0.28843024549505375,0.35153517235339893,857,5,2026-04,0
2317,2026-04-01,0.0,-0.02030456852791873,2,0.28279666430478195,0.349678662037832,0.3675246736573861,857,5,2026-04,0
2317,2026-04-02,0.0,-0.005181347150259086,1,0.3035896338428986,0.37016943571081923,0.3262409304462821,857,5,2026-04,0
2317,2026-04-07,2.0,0.04947916666666674,2,0.3091835300961873,0.34525301714457773,0.34556345275923506,857,5,2026-04,1
2317,2026-04-08,0.0,-0.007444168734491274,1,0.3155717660062206,0.34293175486660504,0.3414964791271744,857,5,2026-04,0
2317,2026-04-09,1.0,0.0024999999999999467,1,0.338390260987974,0.3458482243485831,0.3157615146634428,857,5,2026-04,1
2317,2026-04-10,1.0,-0.0024937655860348684,1,0.32621293369490656,0.3454983232308526,0.3282887430742407,857,5,2026-04,1
2317,2026-04-13,2.0,0.03750000000000009,1,0.3258485117023553,0.35194423507028316,0.32220725322736155,857,5,2026-04,0
2317,2026-04-14,1.0,0.0,1,0.32849481285536214,0.34420444223063684,0.327300744914001,857,5,2026-04,1
2317,2026-04-15,1.0,-0.002409638554216831,2,0.3347704496511619,0.3142686379678915,0.35096091238094657,857,5,2026-04,0
2317,2026-04-16,1.0,-0.004830917874396157,0,0.3518963392848337,0.32634992352040415,0.3217537371947622,857,5,2026-04,0
2317,2026-04-17,2.0,0.00728155339805836,0,0.34993132007747285,0.33011164307114677,0.31995703685138044,857,5,2026-04,0
2317,2026-04-20,2.0,0.01686746987951815,0,0.3444420701761563,0.33245099796852634,0.32310693185531736,857,5,2026-04,0
2317,2026-04-21,2.0,0.04739336492891,2,0.33466618369225803,0.31928510799349386,0.3460487083142482,857,5,2026-04,1
2317,2026-04-22,2.0,0.018099547511312153,0,0.34755584233712034,0.3178405748754938,0.3346035827873859,857,5,2026-04,0
2317,2026-04-23,0.0,-0.015555555555555545,2,0.34824361522916847,0.29538930534413865,0.3563670794266928,857,5,2026-04,0
2317,2026-04-24,2.0,0.02934537246049662,1,0.3214828423520823,0.3540667176048377,0.32445044004308005,857,5,2026-04,0
2317,2026-04-27,0.0,-0.010964912280701733,2,0.3284101130044116,0.30960759582351366,0.36198229117207475,857,5,2026-04,0
2317,2026-04-28,1.0,-0.0022172949002217113,2,0.3345379543039424,0.3116579722341344,0.3538040734619231,857,5,2026-04,0
2317,2026-04-29,0.0,-0.02444444444444449,0,0.3375003400150656,0.3354161361497352,0.3270835238351992,857,5,2026-04,1
2317,2026-04-30,2.0,0.036446469248291535,0,0.35891164984351254,0.32433211407248974,0.3167562360839977,857,5,2026-04,0
2454,2026-04-01,1.0,0.0,2,0.3133952309569319,0.3239874706656309,0.3626172983774373,857,5,2026-04,0
2454,2026-04-02,1.0,0.0034129692832765013,2,0.3010531434908754,0.326364752353755,0.3725821041553695,857,5,2026-04,0
2454,2026-04-07,2.0,0.0748299319727892,1,0.32237473063176947,0.33884550550407044,0.3387797638641601,857,5,2026-04,0
2454,2026-04-08,1.0,-0.0031645569620253333,2,0.3335615482752162,0.3191097468257682,0.3473287048990156,857,5,2026-04,0
2454,2026-04-09,1.0,0.0,2,0.3269482728509456,0.33051329145744046,0.3425384356916139,857,5,2026-04,0
2454,2026-04-10,2.0,0.02857142857142847,2,0.32904618700785776,0.33263408110758896,0.3383197318845532,857,5,2026-04,1
2454,2026-04-13,2.0,0.06172839506172845,2,0.316040305109709,0.33115432172922965,0.3528053731610614,857,5,2026-04,1
2454,2026-04-14,2.0,0.04069767441860472,2,0.3242509582377482,0.3301841582741258,0.345564883488126,857,5,2026-04,1
2454,2026-04-15,2.0,0.05865921787709505,2,0.33932131406722116,0.30383548130894067,0.3568432046238382,857,5,2026-04,1
2454,2026-04-16,2.0,0.0158311345646438,2,0.33805775736805876,0.31758810699102075,0.3443541356409205,857,5,2026-04,1
