date,open,high,low,close,volume
2021-07-22,25.334931318319796,25.488943139877,25.296427970935184,25.450441360473633,13622249
2021-07-23,25.450443225100017,25.48894500732422,25.3734365246889,25.48894500732422,12181190
2021-07-26,25.48894058597922,25.52744392950594,25.296425436326707,25.41193389892578,11452934
2021-07-27,25.411936445107777,25.450441360473633,25.296427970935184,25.450441360473633,8716639
2021-07-28,25.450438810433585,25.48894058597922,25.296425436326707,25.41193389892578,16163882
2021-07-29,25.4119383069131,25.48894500732422,25.33493317448334,25.48894500732422,11119900
2021-07-30,25.48894500732422,25.48894500732422,25.33493317448334,25.48894500732422,21711956
2021-08-02,25.48894058597922,25.48894058597922,25.334928779853428,25.41193389892578,15913211
2021-08-03,25.450443225100017,25.48894500732422,25.3734365246889,25.48894500732422,19384201
2021-08-04,25.450437816065204,25.527442932128906,25.450437816065204,25.527442932128906,15609749
2021-08-05,25.527442932128906,25.527442932128906,25.450437816065204,25.527442932128906,13743249
2021-08-06,25.488941795620143,25.604450263700954,25.45044001824731,25.565948486328125,22491853
2021-08-09,25.488941795620143,25.565948486328125,25.334929982185336,25.565948486328125,22936982
2021-08-10,25.565949834646226,25.565949834646226,25.411936445107777,25.450441360473633,26344590
2021-08-11,25.450441360473633,25.488943139877,25.37343466570441,25.450441360473633,46427215
2021-08-12,24.868161185645736,25.02990541179829,24.746853427707368,24.827726364135742,108142505
2021-08-13,24.90859621852882,25.191648186309177,24.82772493346476,25.110776901245117,25383655
2021-08-16,25.110776901245117,25.1512133671292,24.9490326844129,25.110776901245117,25969652
2021-08-17,25.110776901245117,25.110776901245117,25.110776901245117,25.110776901245117,0
2021-08-18,25.434267044067383,25.474703512668754,25.31295763826327,25.434267044067383,20140541
2021-08-19,25.393830701275284,25.434267170076993,25.23208647277268,25.312957763671875,23247478
2021-08-20,25.434267044067383,25.51513833456591,25.110778588664836,25.434267044067383,19087979
2021-08-23,25.515136619973614,25.515136619973614,25.110776901245117,25.110776901245117,26714423
2021-08-24,25.191647435328356,25.353391647338867,25.11077615267513,25.353391647338867,11085263
2021-08-25,25.434267044067383,25.434267044067383,25.31295763826327,25.434267044067383,13226871
2021-08-26,25.393830575466012,25.474703512668754,25.23208634776474,25.434267044067383,12228104
2021-08-27,25.434266448500754,25.87906265258789,25.39382998084624,25.87906265258789,17254670
2021-08-30,25.879061518892946,26.242984771728516,25.798188587126752,26.242984771728516,15464236
2021-08-31,26.202550680886763,26.526039123535156,26.08124292656965,26.526039123535156,25614607
2021-09-01,26.364293081143916,26.404731194587708,26.242985327629086,26.3238582611084,13176927
2021-09-02,26.28342075498708,26.32385722012767,25.879061043693397,25.959932327270508,14414243
2021-09-03,26.04080628733908,26.3238582611084,26.000369820599428,26.3238582611084,20299302
2021-09-06,26.323858937872014,26.364293758947078,26.162114713459225,26.283422470092773,13267430
2021-09-07,26.283421237611613,26.283421237611613,26.121677020783327,26.242984771728516,7715337
2021-09-08,26.242986002313533,26.283422470092773,26.040806956825676,26.283422470092773,14232068
2021-09-09,26.12167739868164,26.20255033161781,26.040806112449598,26.12167739868164,8898900
2021-09-10,26.121677020783327,26.283421237611613,26.040805735721232,26.242984771728516,14422984
2021-09-13,26.20255033161781,26.20255033161781,26.040806112449598,26.12167739868164,12132422
2021-09-14,26.242986002313533,26.283422470092773,26.162114713459225,26.283422470092773,13642363
2021-09-15,26.283420939265476,26.283420939265476,26.081241905553153,26.162113189697266,11324208
2021-09-16,26.162113189697266,26.283420939265476,26.081241905553153,26.162113189697266,9411059
2021-09-17,26.162112327950794,26.283420073523285,26.000368118286133,26.000368118286133,26370266
2021-09-22,25.879061043693397,26.040805257551686,25.79818811341222,25.959932327270508,27874718
2021-09-23,26.04080666545847,26.202550888061523,25.95993373080486,26.202550888061523,12191050
2021-09-24,26.242985708684166,26.28342217601097,26.121677953407914,26.202550888061523,9262559
2021-09-27,26.202549655121363,26.283420939265476,26.040805440129052,26.162113189697266,11937662
2021-09-28,26.121677953407914,26.202550888061523,25.95993373080486,26.202550888061523,6784790
2021-09-29,26.000367816797453,26.04080428042074,25.879060072631592,25.919496536254883,22490396
2021-09-30,25.879060072631592,26.04080428042074,25.879060072631592,25.919496536254883,13089913
2021-10-01,25.879060072631592,25.959931353174163,25.757752328465735,25.919496536254883,24973844
2021-10-04,25.919497508833988,26.000368792411095,25.879061043693397,25.959932327270508,9966815
2021-10-05,25.919496536254883,25.959931353174163,25.798187145385015,25.919496536254883,15930938
2021-10-06,25.91949739452107,26.16211289088646,25.798187999634315,26.081241607666016,15920391
2021-10-07,26.162114420734717,26.28342217601097,26.08124313278527,26.202550888061523,13136667
2021-10-08,26.20254935584871,26.20254935584871,26.000368677741513,26.081241607666016,11062156
2021-10-12,25.95993280395504,26.242984771728516,25.798188587126752,26.242984771728516,22481223
2021-10-13,26.242986002313533,26.283422470092773,26.121678245679984,26.283422470092773,14489591
2021-10-14,26.283421617849857,26.364292904081903,26.12167739868164,26.12167739868164,12213278
2021-10-15,26.162114713459225,26.283422470092773,26.08124342460492,26.283422470092773,12670759
2021-10-18,26.28342159213359,26.64734649658203,26.20255030598067,26.64734649658203,21400336
2021-10-19,26.647345638975352,26.647345638975352,26.44516496004377,26.4856014251709,11567563
2021-10-20,26.485602949905584,26.6473471730214,26.485602949905584,26.606910705566406,12056043
2021-10-21,26.606910030153507,26.687781316306427,26.52603874400059,26.64734649658203,21717558
